"",""
"Action","Action"
"Add Fingerprint","Add Fingerprint"
"An error occurred while updating the fingerprints.","An error occurred while updating the fingerprints."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Checksums","Checksums"
"Could not find fingerprint to delete.","Could not find fingerprint to delete."
"Created at","Created at"
"Created by","Created by"
"Delete Fingerprint","Delete Fingerprint"
"Delete","Delete"
"Disabled","Disabled"
"Edit Fingerprint '%s'","Edit Fingerprint '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving fingerprint","Error saving fingerprint"
"Excel","Excel"
"Fingerprint was saved","Fingerprint was saved"
"Fingerprint was successfully deleted.","Fingerprint was successfully deleted."
"Fingerprint was successfully saved","Fingerprint was successfully saved"
"Fingerprint","Fingerprint"
"Fingerprints","Fingerprints"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select fingerprints to delete.","Please select fingerprints to delete."
"Please select fingerprints.","Please select fingerprints."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Fingerprint","Save Fingerprint"
"Status","Status"
"Store views","Store views"
"The fingerprints has been deleted.","The fingerprints has been deleted."
"There was a problem saving the fingerprint.","There was a problem saving the fingerprint."
"There was an error deleting fingerprint.","There was an error deleting fingerprint."
"There was an error deleting fingerprints.","There was an error deleting fingerprints."
"There was an error updating fingerprints.","There was an error updating fingerprints."
"This fingerprint no longer exists.","This fingerprint no longer exists."
"Total of %d fingerprints were successfully deleted.","Total of %d fingerprints were successfully deleted."
"Total of %d fingerprints were successfully updated.","Total of %d fingerprints were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find fingerprint to save.","Unable to find fingerprint to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"